Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
13.67,0,0.7251798724002132916927051814,0.725179872400213,0.725179872400213,0.725179872400213,0.725179872400213,0,0.0000000,0.0000000,0,5.2328190329365631522228911749,24.071278529037928576297881273,24.504539401718579527115642849,396356200
13.67,2,0.7251798724002132916927051814,0.731039383437241,0.731039383437241,0.72606420035031,0.72606420035031,0.129797105247067,0.1552309429092172868565322404,0.1369816499892272868565322404,0.01824929291999,5.2328190329365631522228911749,24.274959935197488467492242626,24.504539401718579527115642849,396356200
13.67,4,0.7251798724002132916927051814,0.752434103910592,0.752434103910592,0.728725827228629,0.728725827228629,0.313596485715209,0.3653197302509345737130644809,0.2739632999784545737130644809,0.09135643027248,5.2328190329365631522228911749,24.504539562147273269280493538,24.504539401718579527115642849,396356200
13.68,0,0.7251585840158920447459099302,0.725158584015892,0.725158584015892,0.725158584015892,0.725158584015892,0,0.0000000,0.0000000,0,5.2309630866302625029983196294,24.065407098823497641775889576,24.500159277493981071847369145,396646100
13.68,2,0.7251585840158920447459099302,0.731018532436919,0.731018532436919,0.726042886005653,0.726042886005653,0.129810745736072,0.1552438473993881847646779331,0.1369306478780638847646779331,0.0183131995213243,5.2309630866302625029983196294,24.27047739806153379261204527,24.500159277493981071847369145,396646100
13.68,4,0.7251585840158920447459099302,0.752403725232086,0.752403725232086,0.728704434749238,0.728704434749238,0.313468724122584,0.3651901607696380695293558662,0.2738612957561277695293558662,0.0913288650135103,5.2309630866302625029983196294,24.500159438570043896621391785,24.500159277493981071847369145,396646100
13.69,0,0.7251373393914360325919912696,0.725137339391436,0.725137339391436,0.725137339391436,0.725137339391436,0,0.0000000,0.0000000,0,5.2291097710000517184920513083,24.059541549972732436884230137,24.49578376582553489246193225,396936100
13.69,2,0.7251373393914360325919912696,0.730997727516096,0.730997727516096,0.726021615474224,0.726021615474224,0.129824450357817,0.1552568175913822581632736377,0.1368797114687237581632736377,0.0183771061226585,5.2291097710000517184920513083,24.266004561465788842435489206,24.49578376582553489246193225,396936100
13.69,4,0.7251373393914360325919912696,0.75237340323149,0.75237340323149,0.728683086243688,0.728683086243688,0.313341142671011,0.3650607749442306163265472753,0.2737594229374475163265472753,0.0913013520067831,5.2291097710000517184920513083,24.495783927549292376253910584,24.49578376582553489246193225,396936100
13.70,0,0.7251161396267274642073093123,0.725116139626728,0.725116139626728,0.725116139626728,0.725116139626728,0,0.0000000,0.0000000,0,5.227258785870082051700180388,24.053676679464784005858952331,24.491408990087607716117088221,397226000
13.70,2,0.7251161396267274642073093123,0.730976969410851,0.730976969410851,0.726000389857248,0.726000389857248,0.129838208636674,0.1552698430416419950331614340,0.1368288303176491950331614340,0.0184410127239928,5.227258785870082051700180388,24.261536844332943567269219476,24.491408990087607716117088221,397226000
